id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
97,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUNJUNGAN RAWAT JALAN,98873,ORANG,2020
98,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUNJUNGAN RAWAT INAP,18797,ORANG,2020
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUNJUNGAN GANGGUAN JIWA,4631,ORANG,2020
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUNJUNGAN RAWAT INAP,0,ORANG,2020
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
103,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUNJUNGAN RAWAT JALAN,696066,ORANG,2020
104,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUNJUNGAN RAWAT INAP,4280,ORANG,2020
105,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUNJUNGAN GANGGUAN JIWA,3697,ORANG,2020
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUNJUNGAN RAWAT JALAN,1711571,ORANG,2020
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUNJUNGAN RAWAT INAP,5978,ORANG,2020
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUNJUNGAN GANGGUAN JIWA,132195,ORANG,2020
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KUNJUNGAN RAWAT JALAN,773308,ORANG,2020
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KUNJUNGAN RAWAT INAP,15940,ORANG,2020
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KUNJUNGAN GANGGUAN JIWA,1443,ORANG,2020
112,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KUNJUNGAN RAWAT JALAN,579922,ORANG,2020
113,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KUNJUNGAN RAWAT INAP,6114,ORANG,2020
114,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KUNJUNGAN GANGGUAN JIWA,4882,ORANG,2020
115,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KUNJUNGAN RAWAT INAP,0,ORANG,2020
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,KUNJUNGAN RAWAT JALAN,163822,ORANG,2020
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,KUNJUNGAN RAWAT INAP,0,ORANG,2020
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,KUNJUNGAN GANGGUAN JIWA,3706,ORANG,2020
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KUNJUNGAN RAWAT INAP,0,ORANG,2020
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KUNJUNGAN RAWAT JALAN,2000982,ORANG,2020
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KUNJUNGAN RAWAT INAP,169289,ORANG,2020
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KUNJUNGAN GANGGUAN JIWA,23808,ORANG,2020
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,KUNJUNGAN RAWAT JALAN,1777914,ORANG,2020
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,KUNJUNGAN RAWAT INAP,233482,ORANG,2020
129,32,JAWA BARAT,3216,KABUPATEN BEKASI,KUNJUNGAN GANGGUAN JIWA,8531,ORANG,2020
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KUNJUNGAN RAWAT INAP,0,ORANG,2020
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
133,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KUNJUNGAN RAWAT JALAN,186212,ORANG,2020
134,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KUNJUNGAN RAWAT INAP,0,ORANG,2020
135,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KUNJUNGAN GANGGUAN JIWA,700,ORANG,2020
136,32,JAWA BARAT,3271,KOTA BOGOR,KUNJUNGAN RAWAT JALAN,1312341,ORANG,2020
137,32,JAWA BARAT,3271,KOTA BOGOR,KUNJUNGAN RAWAT INAP,110328,ORANG,2020
138,32,JAWA BARAT,3271,KOTA BOGOR,KUNJUNGAN GANGGUAN JIWA,61267,ORANG,2020
139,32,JAWA BARAT,3272,KOTA SUKABUMI,KUNJUNGAN RAWAT JALAN,389995,ORANG,2020
140,32,JAWA BARAT,3272,KOTA SUKABUMI,KUNJUNGAN RAWAT INAP,0,ORANG,2020
141,32,JAWA BARAT,3272,KOTA SUKABUMI,KUNJUNGAN GANGGUAN JIWA,7034,ORANG,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,KUNJUNGAN RAWAT INAP,0,ORANG,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,KUNJUNGAN GANGGUAN JIWA,12352,ORANG,2020
145,32,JAWA BARAT,3274,KOTA CIREBON,KUNJUNGAN RAWAT JALAN,910285,ORANG,2020
146,32,JAWA BARAT,3274,KOTA CIREBON,KUNJUNGAN RAWAT INAP,66489,ORANG,2020
147,32,JAWA BARAT,3274,KOTA CIREBON,KUNJUNGAN GANGGUAN JIWA,17188,ORANG,2020
148,32,JAWA BARAT,3275,KOTA BEKASI,KUNJUNGAN RAWAT JALAN,1128539,ORANG,2020
149,32,JAWA BARAT,3275,KOTA BEKASI,KUNJUNGAN RAWAT INAP,1255,ORANG,2020
150,32,JAWA BARAT,3275,KOTA BEKASI,KUNJUNGAN GANGGUAN JIWA,15180,ORANG,2020
151,32,JAWA BARAT,3276,KOTA DEPOK,KUNJUNGAN RAWAT JALAN,0,ORANG,2020
